Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,181.0,181.75,179.64999389648438,181.39999389648438,179.28062438964844,1333139
2023-01-03,182.0,183.0,179.5,180.89999389648438,178.78646850585938,1729484
2023-01-04,180.64999389648438,181.0500030517578,176.89999389648438,179.1999969482422,177.1063232421875,1956913
2023-01-05,179.25,181.5500030517578,178.5500030517578,180.60000610351562,178.48997497558594,1362043
2023-01-06,180.5,181.60000610351562,177.75,178.39999389648438,176.315673828125,1453876
2023-01-09,179.0,181.35000610351562,178.8000030517578,180.8000030517578,178.68763732910156,1205955
2023-01-10,182.1999969482422,183.10000610351562,179.10000610351562,181.0,178.8852996826172,2079610
2023-01-11,181.10000610351562,184.3000030517578,181.10000610351562,183.0,180.86192321777344,1978023
2023-01-12,184.10000610351562,185.5,181.6999969482422,182.64999389648438,180.51600646972656,2496914
2023-01-13,182.8000030517578,184.0500030517578,181.5500030517578,183.0500030517578,180.91134643554688,1124171
2023-01-16,182.39999389648438,185.5,181.89999389648438,183.0500030517578,180.91134643554688,1761103
2023-01-17,182.35000610351562,184.60000610351562,182.35000610351562,184.25,182.09732055664062,2163936
2023-01-18,184.1999969482422,185.60000610351562,183.35000610351562,185.0,182.8385772705078,2053428
2023-01-19,183.89999389648438,191.35000610351562,183.39999389648438,189.5,187.28598022460938,6627616
2023-01-20,190.0500030517578,190.4499969482422,185.39999389648438,186.5,184.321044921875,2166966
2023-01-23,186.89999389648438,188.0500030517578,182.75,184.25,182.09732055664062,2065686
2023-01-24,184.8000030517578,185.85000610351562,181.64999389648438,183.60000610351562,181.45492553710938,1022069
2023-01-25,183.75,183.9499969482422,180.0500030517578,182.1999969482422,180.0712890625,1474814
2023-01-27,184.0,187.39999389648438,180.85000610351562,183.1999969482422,181.05958557128906,2867121
2023-01-30,182.75,184.64999389648438,173.0,176.4499969482422,174.38845825195312,5339429
2023-01-31,175.85000610351562,181.75,175.10000610351562,180.85000610351562,178.737060546875,2968425
2023-02-01,181.8000030517578,188.85000610351562,178.89999389648438,182.4499969482422,180.318359375,6211267
2023-02-02,181.8000030517578,184.0,178.8000030517578,180.6999969482422,178.5887908935547,3120856
2023-02-03,181.0,182.4499969482422,177.0,180.1999969482422,178.0946502685547,2239237
2023-02-06,182.0,183.0,177.35000610351562,182.3000030517578,180.17010498046875,3756326
2023-02-07,182.1999969482422,182.89999389648438,177.3000030517578,177.75,175.67327880859375,3197394
2023-02-08,177.75,179.3000030517578,175.64999389648438,178.85000610351562,176.7604217529297,2279862
2023-02-09,178.8000030517578,180.25,178.10000610351562,179.75,177.64990234375,933671
2023-02-10,179.5,181.9499969482422,178.0,179.85000610351562,177.7487335205078,2162651
2023-02-13,181.0,182.1999969482422,178.89999389648438,180.0,177.89698791503906,1839798
2023-02-14,180.0,181.8000030517578,178.64999389648438,181.1999969482422,179.0829620361328,1147212
2023-02-15,180.14999389648438,182.85000610351562,179.4499969482422,181.39999389648438,179.28062438964844,1191296
2023-02-16,181.1999969482422,182.75,181.14999389648438,181.89999389648438,179.7747802734375,1153174
2023-02-17,181.39999389648438,182.4499969482422,179.5500030517578,180.75,178.63821411132812,744768
2023-02-20,180.85000610351562,181.4499969482422,178.10000610351562,178.60000610351562,176.51333618164062,729089
2023-02-21,178.64999389648438,179.10000610351562,177.0,177.5,175.4261932373047,1282707
2023-02-22,177.14999389648438,177.3000030517578,173.0,173.64999389648438,171.6211700439453,1688416
2023-02-23,174.10000610351562,174.60000610351562,172.10000610351562,173.3000030517578,171.2752685546875,1262663
2023-02-24,173.85000610351562,176.0,172.3000030517578,175.64999389648438,173.59779357910156,2866351
2023-02-27,175.1999969482422,175.3000030517578,171.60000610351562,173.4499969482422,171.42349243164062,1136594
2023-02-28,173.1999969482422,176.75,172.10000610351562,175.35000610351562,173.3013153076172,4639642
2023-03-01,175.35000610351562,179.25,175.0500030517578,178.9499969482422,176.8592529296875,1291348
2023-03-02,178.64999389648438,181.0,176.9499969482422,179.75,177.64990234375,1887952
2023-03-03,179.6999969482422,182.10000610351562,178.64999389648438,180.60000610351562,178.48997497558594,1646391
2023-03-06,180.9499969482422,183.0,180.60000610351562,182.39999389648438,180.26893615722656,1620666
2023-03-08,182.1999969482422,185.9499969482422,181.60000610351562,185.60000610351562,183.4315643310547,1486043
2023-03-09,185.60000610351562,187.39999389648438,183.64999389648438,184.89999389648438,182.73973083496094,2303023
2023-03-10,184.0,184.89999389648438,181.4499969482422,183.5,181.3560791015625,1169203
2023-03-13,183.3000030517578,183.85000610351562,177.60000610351562,178.8000030517578,176.71099853515625,1556073
2023-03-14,178.8000030517578,179.5500030517578,175.8000030517578,176.25,174.1907958984375,1046936
2023-03-15,177.9499969482422,178.4499969482422,176.5,177.5,175.4261932373047,1074376
2023-03-16,177.5,177.9499969482422,174.75,176.5500030517578,174.4873046875,1284274
2023-03-17,177.1999969482422,179.5,177.1999969482422,178.6999969482422,176.61216735839844,1425543
